FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,UNESCO_UIS_GRAD_ICT,Percentage of graduates from ICT programmes in tertiary education,F,Female,PT_GRDTS,Percentage of graduates,_Z,Not Applicable,MEAN,Mean,UNESCO_UIS,UNESCO Education Statistics,0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,
A,Annual,ABW,Aruba,UNESCO_UIS_GRAD_ICT,Percentage of graduates from ICT programmes in tertiary education,M,Male,PT_GRDTS,Percentage of graduates,_Z,Not Applicable,MEAN,Mean,UNESCO_UIS,UNESCO Education Statistics,0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,
A,Annual,ABW,Aruba,UNESCO_UIS_GRAD_ICT,Percentage of graduates from ICT programmes in tertiary education,_T,Total,IX,Index,GPIA,Adjusted Gender Parity Index,MEAN,Mean,UNESCO_UIS,UNESCO Education Statistics,0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,
A,Annual,ABW,Aruba,UNESCO_UIS_GRAD_ICT,Percentage of graduates from ICT programmes in tertiary education,_T,Total,PT_GRDTS,Percentage of graduates,_Z,Not Applicable,MEAN,Mean,UNESCO_UIS,UNESCO Education Statistics,0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,
A,Annual,ABW,Aruba,UNESCO_UIS_GRAD_STEM,Percentage of graduates from STEM programmes in tertiary education,F,Female,PT_GRDTS,Percentage of graduates,_Z,Not Applicable,MEAN,Mean,UNESCO_UIS,UNESCO Education Statistics,0,Units,A,Normal value,PU,Public,4.9723801612854,4.255320072174072,8.588959693908691,2.205879926681519,3.68097996711731,4.516129970550537,0.0,6.0,5.454549789428711,2.439019918441772,2.312139987945557,3.225810050964355,4.561399936676025,,,0.0,1.282050013542175,,,,,,,
A,Annual,ABW,Aruba,UNESCO_UIS_GRAD_STEM,Percentage of graduates from STEM programmes in tertiary education,M,Male,PT_GRDTS,Percentage of graduates,_Z,Not Applicable,MEAN,Mean,UNESCO_UIS,UNESCO Education Statistics,0,Units,A,Normal value,PU,Public,55.91397857666016,66.0,51.0638313293457,53.75,47.3684196472168,61.11111068725586,41.97531127929688,39.33332824707031,48.76033020019531,28.75,57.64706039428711,29.85074996948242,34.8684196472168,,,0.0,4.347829818725586,,,,,,,
A,Annual,ABW,Aruba,UNESCO_UIS_GRAD_STEM,Percentage of graduates from STEM programmes in tertiary education,_T,Total,IX,Index,GPIA,Adjusted Gender Parity Index,MEAN,Mean,UNESCO_UIS,UNESCO Education Statistics,0,Units,A,Normal value,PU,Public,0.0889300033450127,0.064470000565052,0.1682000011205673,0.0410399995744228,0.0777100026607513,0.0738999992609024,0.0,0.152539998292923,0.1118599995970726,0.0848399996757507,0.0401099994778633,0.1080600023269653,0.1308200061321259,,,0.0,0.294869989156723,,,,,,,
A,Annual,ABW,Aruba,UNESCO_UIS_GRAD_STEM,Percentage of graduates from STEM programmes in tertiary education,_T,Total,PT_GRDTS,Percentage of graduates,_Z,Not Applicable,MEAN,Mean,UNESCO_UIS,UNESCO Education Statistics,0,Units,A,Normal value,PU,Public,22.26276969909668,25.6944408416748,24.12450981140137,13.92045021057129,15.0,25.30611991882324,12.59259033203125,22.66666984558105,23.77622032165527,9.824560165405272,20.54264068603516,13.39031028747559,15.10297012329102,,,0.0,2.222219944000244,,,,,,,
A,Annual,AFG,Afghanistan,UNESCO_UIS_GRAD_ICT,Percentage of graduates from ICT programmes in tertiary education,F,Female,PT_GRDTS,Percentage of graduates,_Z,Not Applicable,MEAN,Mean,UNESCO_UIS,UNESCO Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,2.530869960784912,,,
A,Annual,AFG,Afghanistan,UNESCO_UIS_GRAD_ICT,Percentage of graduates from ICT programmes in tertiary education,M,Male,PT_GRDTS,Percentage of graduates,_Z,Not Applicable,MEAN,Mean,UNESCO_UIS,UNESCO Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,5.356669902801514,,,
